Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score
1478,22-11-2022,1,1,3
1479,23-08-2022,3,4,2
1480,16-02-2023,5,1,4
1481,24-07-2023,3,5,3
1482,23-04-2023,1,1,1
1483,19-08-2022,3,5,4
1484,25-12-2022,5,2,1
1485,14-12-2022,1,2,1
1486,05-03-2023,5,5,2
1487,20-05-2023,4,4,2
1488,14-03-2023,2,2,4
1489,13-10-2022,3,5,2
1490,06-03-2023,2,3,4
1491,29-03-2023,1,3,3
1492,17-04-2023,4,5,2
1493,06-12-2022,2,2,4
1494,06-05-2023,5,5,5
1495,30-12-2022,3,3,4
1496,09-07-2023,2,3,3
1497,29-07-2023,5,4,5
1498,28-12-2022,1,5,3
1499,28-11-2022,4,2,3
1500,24-07-2023,1,4,4
1501,08-05-2023,5,4,4
1502,08-06-2023,5,3,5
1503,24-10-2022,2,2,4
1504,23-10-2022,5,3,2
1505,02-11-2022,2,5,4
1506,08-05-2023,2,3,2
1507,19-01-2023,1,2,1
1508,07-10-2022,4,3,2
1509,25-09-2022,5,1,3
1510,06-04-2023,2,3,3
1511,17-09-2022,2,3,2
1512,18-04-2023,4,5,2
1513,18-11-2022,5,3,5
1514,08-05-2023,1,3,2
1515,14-12-2022,2,3,1
1516,16-07-2023,1,5,3
1517,22-01-2023,4,5,3
1518,28-09-2022,4,4,2
1519,25-02-2023,1,3,1
1520,05-04-2023,2,2,5
1521,11-06-2023,4,1,3
1522,03-12-2022,3,4,5
1523,20-09-2022,4,4,3
1524,17-01-2023,4,1,2
1525,29-10-2022,2,4,1
1526,20-01-2023,2,3,3
1527,02-06-2023,1,1,3
1528,25-02-2023,5,5,2
1529,28-04-2023,3,1,3
1530,31-10-2022,1,2,3
1531,23-08-2022,5,5,3
1532,04-08-2023,5,2,2
1533,27-06-2023,1,3,2
1534,12-08-2022,1,1,5
1535,08-12-2022,4,2,1
1536,19-03-2023,5,3,5
1537,06-08-2022,5,2,4
1538,11-11-2022,2,4,5
1539,22-01-2023,4,4,5
1540,24-01-2023,2,4,2
1541,26-12-2022,1,4,1
1542,31-07-2023,5,4,4
1543,07-01-2023,4,1,1
1544,20-06-2023,5,1,5
1545,21-08-2022,2,4,2
1546,26-05-2023,3,1,5
1547,24-09-2022,4,4,4
1548,14-06-2023,1,4,4
1549,07-07-2023,2,3,1
1550,04-03-2023,2,3,3
1551,08-07-2023,4,4,2
1552,31-05-2023,3,2,4
1553,12-01-2023,3,1,5
1554,08-06-2023,1,3,3
1555,19-12-2022,5,1,2
1556,07-10-2022,4,5,2
1557,19-08-2022,4,1,2
1558,09-10-2022,3,5,2
1559,04-02-2023,3,1,3
1560,23-01-2023,1,2,4
1561,01-04-2023,5,1,3
1562,21-04-2023,3,2,1
1563,23-04-2023,1,4,3
1564,20-12-2022,4,1,4
1565,16-06-2023,5,4,5
1566,25-07-2023,1,4,1
1567,12-04-2023,4,2,4
1568,04-10-2022,1,2,3
1569,08-03-2023,1,3,1
1570,07-08-2022,1,4,5
1571,04-06-2023,3,2,4
1572,17-10-2022,2,4,3
1573,10-06-2023,1,1,3
1574,10-06-2023,4,3,2
1575,16-11-2022,2,3,2
1576,07-05-2023,5,2,3
1577,29-03-2023,5,2,1
1578,03-02-2023,5,5,1
1579,15-04-2023,1,3,1
1580,23-04-2023,1,1,5
1581,11-12-2022,1,3,5
1582,04-11-2022,2,1,5
1583,27-06-2023,3,3,3
1584,18-03-2023,4,1,4
1585,23-12-2022,5,4,4
1586,16-07-2023,3,3,4
1587,27-06-2023,4,5,3
1588,21-07-2023,1,5,5
1589,26-04-2023,2,1,1
1590,20-04-2023,5,1,3
1591,10-05-2023,4,3,1
1592,06-06-2023,1,1,4
1593,02-10-2022,1,4,1
1594,08-12-2022,1,1,4
1595,12-01-2023,3,4,3
1596,10-02-2023,4,4,1
1597,23-07-2023,2,1,4
1598,28-05-2023,2,5,5
1599,13-09-2022,4,5,2
1600,28-04-2023,5,3,2
1601,05-01-2023,4,2,5
1602,01-04-2023,2,1,3
1603,31-08-2022,2,5,1
1604,28-01-2023,1,5,1
1605,08-05-2023,2,3,3
1606,28-06-2023,5,4,3
1607,18-03-2023,3,5,5
1608,11-12-2022,2,4,3
1609,13-04-2023,5,5,4
1610,23-10-2022,4,5,5
1611,21-05-2023,1,2,2
1612,13-12-2022,5,5,3
1613,07-09-2022,4,2,1
1614,10-04-2023,1,4,2
1615,27-07-2023,1,1,3
1616,29-01-2023,3,4,1
1617,08-02-2023,5,1,2
1618,16-11-2022,2,5,4
1619,05-01-2023,4,2,2
1620,30-10-2022,5,3,2
1621,21-05-2023,4,1,3
1622,29-04-2023,1,5,5
1623,18-12-2022,1,2,2
1624,24-07-2023,5,1,3
1625,16-08-2022,5,2,2
1626,11-01-2023,3,4,5
1627,06-08-2022,4,4,1
1628,12-04-2023,4,4,2
1629,23-09-2022,1,2,4
1630,25-02-2023,4,3,2
1631,24-06-2023,2,4,1
1632,12-03-2023,5,4,4
1633,09-12-2022,4,3,2
1634,13-01-2023,2,3,1
1635,19-12-2022,4,4,2
1636,14-10-2022,4,5,2
1637,20-10-2022,4,1,2
1638,08-05-2023,2,4,5
1639,12-10-2022,1,2,1
1640,19-12-2022,2,4,1
1641,18-03-2023,5,4,4
1642,14-04-2023,3,2,2
1643,23-08-2022,5,3,4
1644,01-04-2023,3,1,1
1645,26-09-2022,5,5,5
1646,20-01-2023,2,2,1
1647,16-02-2023,4,2,5
1648,16-12-2022,4,4,5
1649,28-07-2023,3,1,2
1650,29-03-2023,5,1,3
1651,01-11-2022,4,4,4
1652,09-06-2023,1,4,4
1653,02-12-2022,2,4,5
1654,11-06-2023,2,3,3
1655,25-09-2022,3,1,2
1656,30-09-2022,1,4,5
1657,29-07-2023,1,5,1
1658,07-08-2022,2,1,2
1659,11-07-2023,4,5,5
1660,17-06-2023,5,5,1
1661,25-02-2023,5,4,4
1662,17-05-2023,2,4,5
1663,10-03-2023,4,2,4
1664,12-02-2023,2,1,1
1665,23-08-2022,4,2,3
1666,12-08-2022,3,3,4
1667,24-10-2022,1,3,5
1668,01-10-2022,2,1,3
1669,13-09-2022,3,1,2
1670,11-08-2022,2,2,2
1671,08-07-2023,5,3,5
1672,08-10-2022,1,3,4
1673,19-08-2022,3,5,5
1674,04-10-2022,1,5,5
1675,25-01-2023,4,1,4
1676,27-03-2023,2,5,1
1677,10-03-2023,5,4,5
1678,21-06-2023,2,1,1
1679,01-08-2023,5,4,3
1680,01-03-2023,5,4,5
1681,30-05-2023,2,3,4
1682,15-04-2023,5,3,4
1683,29-12-2022,2,4,4
1684,30-12-2022,2,4,3
1685,18-01-2023,1,4,2
1686,06-02-2023,2,4,2
1687,03-08-2023,3,4,5
1688,12-11-2022,1,4,5
1689,26-04-2023,5,3,5
1690,12-11-2022,3,1,5
1691,30-11-2022,3,1,2
1692,25-06-2023,2,2,1
1693,18-12-2022,3,5,1
1694,31-08-2022,3,5,3
1695,25-05-2023,3,3,3
1696,27-05-2023,4,4,1
1697,15-10-2022,1,5,2
1698,21-03-2023,3,5,4
1699,25-04-2023,2,4,3
1700,04-05-2023,5,2,4
1701,29-04-2023,5,3,2
1702,20-01-2023,4,1,2
1703,16-02-2023,1,1,4
1704,06-04-2023,4,4,3
1705,02-04-2023,4,4,1
1706,19-06-2023,3,2,5
1707,21-10-2022,5,4,3
1708,29-01-2023,4,5,4
1709,10-05-2023,5,4,2
1710,03-07-2023,1,2,3
1711,05-05-2023,5,1,4
1712,12-05-2023,3,2,3
1713,11-10-2022,4,4,5
1714,27-02-2023,1,2,3
1715,16-04-2023,2,2,5
1716,15-01-2023,2,1,1
1717,06-03-2023,4,2,5
1718,19-07-2023,5,4,5
1719,29-03-2023,2,3,1
1720,10-07-2023,4,3,2
1721,30-06-2023,5,4,4
1722,16-03-2023,2,2,4
1723,16-09-2022,5,1,5
1724,22-09-2022,4,2,2
1725,09-04-2023,2,4,5
1726,14-06-2023,3,5,3
1727,22-12-2022,4,2,4
1728,01-08-2023,1,4,2
1729,15-02-2023,1,1,2
1730,03-07-2023,2,4,4
1731,23-06-2023,1,4,1
1732,24-10-2022,1,5,4
1733,26-10-2022,4,5,3
1734,04-04-2023,4,1,4
1735,10-05-2023,4,4,5
1736,21-04-2023,3,1,3
1737,30-03-2023,4,5,2
1738,13-11-2022,4,1,2
1739,10-10-2022,2,5,1
1740,20-09-2022,5,4,4
1741,22-08-2022,3,4,2
1742,20-05-2023,5,5,3
1743,20-04-2023,4,1,5
1744,02-05-2023,2,1,4
1745,14-11-2022,4,4,3
1746,20-06-2023,4,3,4
1747,28-03-2023,1,4,4
1748,12-02-2023,3,2,4
1749,05-08-2022,1,4,5
1750,13-11-2022,1,2,5
1751,24-08-2022,4,4,1
1752,11-12-2022,2,1,2
1753,30-05-2023,5,3,3
1754,29-12-2022,5,5,1
1755,17-10-2022,4,1,1
1756,27-06-2023,2,4,4
1757,18-08-2022,5,4,5
1758,18-08-2022,5,3,5
1759,16-09-2022,5,2,4
1760,16-03-2023,5,3,2
1761,20-02-2023,3,2,1
1762,19-03-2023,3,3,5
1763,18-08-2022,4,2,4
1764,13-03-2023,2,3,5
1765,24-12-2022,5,5,2
1766,23-05-2023,1,5,2
1767,09-08-2022,4,1,1
1768,11-02-2023,3,3,3
1769,10-02-2023,4,3,5
1770,24-02-2023,1,3,5
1771,03-06-2023,3,2,1
1772,01-01-2023,3,4,5
1773,20-11-2022,5,5,2
1774,09-12-2022,1,1,2
1775,10-05-2023,4,2,3
1776,16-01-2023,3,2,3
1777,02-02-2023,1,3,1
1778,19-11-2022,3,5,4
1779,22-08-2022,5,3,4
1780,03-06-2023,2,3,2
1781,27-09-2022,2,2,4
1782,07-07-2023,3,4,1
1783,21-04-2023,5,2,4
1784,23-02-2023,2,3,1
1785,08-08-2022,4,4,5
1786,03-06-2023,4,2,1
1787,23-02-2023,2,5,3
1788,04-08-2023,2,5,1
1789,07-10-2022,4,3,1
1790,11-10-2022,4,5,4
1791,18-09-2022,4,5,3
1792,12-09-2022,2,3,5
1793,04-09-2022,1,1,2
1794,17-05-2023,4,4,2
1795,10-06-2023,5,1,4
1796,23-11-2022,3,5,2
1797,03-05-2023,3,3,5
1798,27-01-2023,3,2,4
1799,28-04-2023,2,5,3
1800,03-02-2023,4,3,5
1801,02-06-2023,3,4,3
1802,21-05-2023,4,2,5
1803,19-01-2023,1,3,1
1804,14-04-2023,3,3,5
1805,09-07-2023,3,3,1
1806,05-08-2022,1,2,5
1807,03-02-2023,1,4,4
1808,25-04-2023,5,2,4
1809,07-04-2023,5,2,1
1810,06-07-2023,5,1,4
1811,11-09-2022,2,5,1
1812,05-12-2022,4,2,5
1813,03-06-2023,3,5,3
1814,15-04-2023,3,3,1
1815,23-10-2022,1,4,5
1816,03-04-2023,4,3,1
1817,28-02-2023,3,1,5
1818,25-06-2023,3,1,3
1819,11-12-2022,3,1,1
1820,23-03-2023,5,4,3
1821,03-11-2022,1,2,1
1822,27-08-2022,5,2,2
1823,12-05-2023,4,4,3
1824,15-03-2023,3,1,1
1825,27-10-2022,1,3,3
1826,28-09-2022,3,2,5
1827,25-09-2022,1,3,5
1828,27-11-2022,3,3,2
1829,19-08-2022,2,1,2
1830,12-07-2023,1,4,1
1831,25-03-2023,2,2,2
1832,06-08-2022,1,2,4
1833,23-01-2023,4,3,2
1834,08-12-2022,4,5,1
1835,11-04-2023,5,2,2
1836,06-10-2022,1,4,3
1837,01-01-2023,1,3,3
1838,01-07-2023,2,1,1
1839,28-04-2023,3,3,3
1840,24-08-2022,5,1,4
1841,30-03-2023,3,5,3
1842,07-12-2022,1,4,4
1843,31-07-2023,1,5,4
1844,20-12-2022,2,1,4
1845,18-06-2023,1,2,5
1846,21-06-2023,5,4,1
1847,23-11-2022,5,2,3
1848,10-04-2023,2,4,5
1849,20-09-2022,2,4,4
1850,09-05-2023,3,1,2
1851,01-03-2023,1,1,4
1852,02-05-2023,3,4,1
1853,27-08-2022,4,3,5
1854,29-07-2023,1,2,5
1855,31-01-2023,3,3,3
1856,14-03-2023,2,3,3
1857,21-08-2022,1,4,1
1858,26-10-2022,2,4,1
1859,17-02-2023,4,2,5
1860,21-03-2023,1,4,3
1861,22-09-2022,1,2,4
1862,11-03-2023,5,4,4
1863,04-07-2023,5,2,2
1864,10-12-2022,3,2,1
1865,12-01-2023,1,3,4
1866,12-10-2022,3,5,2
1867,08-05-2023,1,5,2
1868,26-02-2023,5,3,3
1869,31-08-2022,1,2,3
1870,13-09-2022,2,5,3
